Date,Month,Title,Company,Location,Description,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-26,December,Business Development Head - Human Vaccines,EVA pharma,"6th of October, Cairo, Egypt","Join EVA Pharma, a leading pharmaceutical company dedicated to empowering the fight for Health and well-being as a fundamental human right. Recognized and certified as a best place to work, we are committed to fostering a supportive and innovative environment for our team members.
Job Summary
We are seeking a passionate and talented
Business Development Head - Human Vaccines
to join our dynamic team.
The ideal candidate will contribute to our mission of enhancing human health and well-being, ensuring that we meet the highest standards of excellence in our industry.
Strategy & Partnerships:
o   Develop and execute a market entry strategy for technology transfer (fill-finish) in Egypt, North Africa, and Sub-Saharan Africa.
o   Identify, negotiate, and secure partnerships with global vaccine innovators, CDMOs, and government bodies (e.g., Africa CDC, ministries of health).
Product Portfolio Strategy:
o   Evaluate and recommend human vaccine products for technology transfer based on:
* Public health needs and disease burden per region
* Manufacturing feasibility and scalability
* Commercial viability and funding landscape
* Regulatory pathway complexity
o   Prioritize vaccine candidates (e.g., routine immunization vs. pandemic-prevention vaccines).
Technology Transfer Leadership:
o   Lead end-to-end technology transfer projects for human vaccines, including process validation and regulatory alignment.
o   Collaborate with R&D, manufacturing, and quality teams to ensure scalable local production.
Market Expansion:
o   Analyze market dynamics, funding opportunities (e.g., GAVI), and competitor landscapes to prioritize target markets.
o   Build relationships with key stakeholders (WHO, Africa Union, local manufacturers).
Deal Execution:
o   Structure licensing agreements, joint ventures, and co-manufacturing deals; oversee contract lifecycle management.
Cross-functional Collaboration:
o   Align with regulatory affairs to navigate specific requirements.
o   Support funding proposals for technology transfer initiatives.
Requirements
* 10+ years in business development, licensing, or strategic alliances within vaccines/biopharma.
* Proven track record in technology transfer for fill-finish operations for Human Vaccines.
* Deep knowledge of African healthcare systems and vaccine manufacturing challenges.
* Proven track record in product evaluation/recommendation for emerging markets.
Soft Skills/Core
o   Expertise in negotiating complex IP/licensing agreements.
o   Fluency in English; Arabic or French highly preferred.
Technical Skills/Core
o   Strong network with global health organizations.
o   Expertise in market analysis and product prioritization frameworks.",Director,Full-time,Business Development,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346196541,https://eg.linkedin.com/jobs/view/business-development-head-human-vaccines-at-eva-pharma-4346196541,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-26,December,Export Regulatory Affairs Specialist,Jamjoom Pharma,"Cairo, Cairo, Egypt","Role Overview
We are seeking a detail-oriented and proactive
Export Regulatory Affairs Specialist
to support global regulatory compliance and international market access. This role is critical in managing export regulatory submissions, ensuring adherence to country-specific requirements, and coordinating cross-functionally to facilitate timely and compliant product exports.
Key Responsibilities
Compile, format, and submit dossiers in CTD/eCTD format, ensuring accuracy, consistency, and compliance with international standards.
Manage Certificates of Pharmaceutical Product (CPP) issuance and legalization processes.
Ensure compliance with export regulations, customs requirements, and country-specific guidelines.
Liaise with agents, distributors, and internal teams to resolve regulatory queries.
Maintain up-to-date knowledge of global regulatory frameworks and changes impacting exports.
Support audits, inspections from export countries.
Develop and optimize workflows for regulatory submissions and export documentation.
Qualifications & Requirements
Education
Bachelor’s degree in pharmacy, Life Sciences, or a related field (mandatory).
Additional training or certification in Regulatory Affairs is considered a plus.
Experience
3–5 years of hands-on experience in Regulatory Affairs within the pharmaceutical industry, with a strong focus on export submissions.
Proven experience in CTD/eCTD dossier preparation, publishing, and submission for international markets.
Solid knowledge of international regulatory requirements and export-related guidelines.
Experience working with agents and distributors across multiple countries is an advantage.
Skills & Competencies
Regulatory Expertise: Strong understanding of global regulatory frameworks and export compliance requirements.
Technical Writing: Excellent ability to prepare clear, accurate, and compliant regulatory documentation.
Communication: Fluent in English (written and spoken); French language skills are required.
Organization & Attention to Detail: High level of accuracy in managing multiple dossiers and regulatory documents.
Cross-functional Collaboration: Ability to work effectively with internal teams and external partners.
Systems & Tools: Proficient in documentation management systems and MS Office applications.
Problem Solving: Proactive in identifying issues and driving timely regulatory solutions.
Integrity & Compliance: Demonstrates strong ethical standards and commitment to regulatory compliance.",Executive,Full-time,Other,Pharmaceutical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329229488,https://eg.linkedin.com/jobs/view/export-regulatory-affairs-specialist-at-jamjoom-pharma-4329229488,Bac+4,5 ans/years,General Search
2025-12-26,December,Guest Communications VA – Marketing & Revenue Support (Vacation Rentals),CS Outsource,Egypt,"We are looking for a proactive and detail-oriented
Guest Communications Virtual Assistant
to support our vacation rental operations. This role focuses on managing guest conversations, assisting with social media and marketing efforts, and supporting revenue-related tasks to help maximize bookings and guest satisfaction.
This is an ideal role for someone who enjoys engaging with people, understands the hospitality mindset, and has exposure to short-term rental operations.
Key Responsibilities
Guest Communications
Manage guest inquiries across platforms (Airbnb, Vrbo, direct bookings, email, WhatsApp, etc.)
Respond to pre-booking, in-stay, and post-stay messages in a timely and professional manner
Build rapport with guests and ensure a smooth guest experience
Coordinate with internal teams to resolve guest concerns efficiently
Marketing & Social Media Support
Assist with social media posting, engagement, and basic content coordination
Respond to comments and messages on social platforms as needed
Support promotional campaigns, announcements, and listing visibility efforts
Maintain brand tone and consistency across communication channels
Revenue & Operations Support
Assist with pricing updates, calendar management, and availability checks
Support revenue management tasks such as rate adjustments and occupancy tracking
Monitor bookings, cancellations, and special offers
Maintain accurate records and update systems/CRMs
Requirements
Experience in guest communications, customer support, or hospitality (vacation rentals preferred)
Familiarity with Airbnb, Vrbo, or short-term rental platforms is a strong plus
Basic understanding of social media marketing and online engagement
Exposure to revenue management, pricing tools, or booking optimization is preferred
Strong written and verbal English communication skills
Highly organized, reliable, and comfortable working remotely",Mid-Senior level,Full-time,Other,Outsourcing and Offshoring Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329049861,https://eg.linkedin.com/jobs/view/guest-communications-va-%E2%80%93-marketing-revenue-support-vacation-rentals-at-cs-outsource-4329049861,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-26,December,"Art Director, Arabic Speaking, Advisors Creative Desk",Mastercard,"Cairo, Cairo, Egypt","Our Purpose
Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential.
Title And Summary
Art Director, Arabic Speaking, Advisors Creative Desk
Our Purpose
Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential.
Title and Summary
Art Director, Arabic Speaking, Advisors Creative Desk
Overview
The Services team is a key differentiator for Mastercard, providing the  cutting-edge services that help our customers grow. Centered on data-driven technologies and innovation, this team provides consulting, marketing, loyalty and analytics to financial institutions and merchants globally.
The Advisors Creative Desk (“ACD”) sits within Services organization and is responsible for ideating & creating engaging, forward-thinking and creative marketing solutions for Mastercard clients, delivering the complete suite of services a full-service agency can offer.
Role
The Arabic-Speaking Art Director will be part of the growing creative team, working across the EEMEA region (Eastern Europe, Middle East & Africa). The role will focus on bringing powerful ideas to life through design, brand storytelling, and visual craft.
This position collaborates closely with creative team, project managers, and Mastercard Services team to deliver high-quality creative work that aligns with Mastercard’s global standards while resonating locally with  Arabic-speaking audiences.
Key Responsibilities
Understand creative briefs and strategic objectives, ensuring all outputs meet both visual and business goals.
Design visually engaging campaign materials, social assets, and digital experiences for Mastercard and its partner brands.
Translate creative concepts into polished, culturally relevant visuals, collaborate with regional teams to localize and adapt global campaigns for Arabic-speaking markets.
Contribute to concept development sessions, generating fresh and innovative ideas.
Communicate effectively with internal stakeholders across multiple hubs and time zones.
Present creative work when required, articulating the rationale and design thinking behind proposed solutions.
Ensure consistency with Mastercard’s global brand guidelines and visual identity.
Qualifications And Experience
Minimum 5 years of experience in the creative or advertising industry, preferably within an agency or in-house creative environment.
Native or fluent Arabic speaker, with advanced written and verbal command of English.
A creative mindset with a strong eye for design, layout, typography, and composition.
Proficiency in the full Adobe Creative Suite — including Photoshop, Illustrator, InDesign, After Effects (motion design experience is a plus)
Proficiency in Figma is a plus.
Strong communication and presentation skills, with the ability to explain creative decisions clearly.
Collaborative, proactive, and adaptable, with a passion for storytelling and design that transcends cultures.
Work within a structured schedule, managing multiple projects and deadlines effectively.
Comfortable working in a fast-paced, multi-hub environment with
cross-functional teams.
Why join ACD?
Be part of a growing department with high potential and visibility across Mastercard’s global marketing ecosystem.
Work on high-profile regional and international projects, including presenting ideas to top-tier banks and financial institutions across the EEMEA region.
Collaborate with a diverse, multi-hub creative team that values innovation, storytelling, and cultural relevance.
Contribute to creative solutions that connect people, brands, and ideas, backed by the financial power and influence of Mastercard.
Thrive in a supportive environment that encourages bold thinking and pushes the best ideas forward.
Corporate Security Responsibility
All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach, and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.",Director,Full-time,"Design, Art/Creative, and Information Technology","Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350441865,https://eg.linkedin.com/jobs/view/art-director-arabic-speaking-advisors-creative-desk-at-mastercard-4350441865,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-26,December,Senior Accountant Payable,Optiserve Solutions,"Cairo, Egypt","Company Description
Optiserve is a leading Business Process Outsourcing (BPO) company dedicated to delivering seamless, customer-centric solutions that drive business success. We focus on efficiency, innovation, and enhancing customer experience to empower businesses in optimizing their operations. Our offerings include customer service and support, sales and lead generation, back-office operations, technical support, and finance and accounting services. Based in Egypt, Optiserve partners with global and regional brands, providing outstanding customer experiences and business support solutions across various industries.At
We are currently hiring a
Senior Accounts Payable professional
to support
one of our Saudi Arabia–based clients
, while being
based on-site in Cairo, Egypt
.
This role is ideal for an experienced AP professional who is comfortable working in a
client-facing, operational finance environment
and supporting
KSA business operations
through OptiServe.
Role Description
This is a full-time on-site role for a Senior Accounts Payable professional located in Cairo, Egypt. The Senior Accounts Payable professional will handle day-to-day tasks such as processing expense reports, managing journal entries, and ensuring accuracy in finance and accounting operations. Additional responsibilities include improving expense management processes, conducting analytical reviews, and collaborating with other departments to ensure timely and accurate financial reporting.
The Senior Accounts Payable professional will be responsible for managing
day-to-day AP operations
, ensuring
accurate processing of supplier invoices
, timely payments, strong vendor relationships, and full compliance with
tax and VAT requirements
.
Key Responsibilities:
Process supplier invoices and ensure timely, accurate posting in the system.
Perform reconciliations of supplier statements and resolve discrepancies.
Monitor due dates and prepare payment runs in line with company policies.
Ensure compliance with tax and VAT regulations.
Maintain strong vendor relationships and resolve payment discrepancies.
Maintain proper documentation for audit and compliance purposes.
Manage AP aging reports and cash flow forecasts.
Support audits, reconciliations, and financial closing activities.
Qualifications
•
Minimum 3 years of hands-on experience as an Accounts Payable Accountant
• Proven experience processing supplier invoices, reconciliations, and payment runs
• Experience handling expense reports and journal entries
• Understanding of tax and VAT compliance
• Experience supporting audits and financial close
Skills
Strong analytical and problem-solving skills
Ability to work independently within a client-assigned role
Strong communication and stakeholder management skills
Ability to work within a structured BPO delivery model
Experience supporting
KSA operations or clients
is an advantage
Healthcare industry experience is a plus",Mid-Senior level,Full-time,Accounting/Auditing and Finance,Outsourcing and Offshoring Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350612672,https://eg.linkedin.com/jobs/view/senior-accountant-payable-at-optiserve-solutions-4350612672,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-26,December,Graphic Designer – Kijamii Brand,Kijamii,"Cairo, Egypt","ABOUT Kijamii:
Kijamii is an independent, award-winning advertising agency driven by innovation and culture, with a rich legacy of over 14 years, operating regionally with offices in Dubai, Cairo and Riyadh.
JOB PURPOSE:
The Graphic Designer will play a key role in shaping and visually expressing Kijamii’s brand across all internal and external communication touchpoints.
This role is not client-facing, it focuses on strengthening Kijamii’s own visual identity and storytelling through high-quality, engaging, and consistent design work.
Working closely with the Director of Communications and the wider comms team, the Graphic Designer will translate strategic ideas into visually compelling materials for campaigns, social content, internal initiatives, and corporate communications. The role requires someone who combines strong design craft with brand sensitivity, creative curiosity, and a keen eye for detail.
RESPONSIBILITIES AND TASKS:
Develop visual assets that represent Kijamii’s identity for the agency’s owned channels (social media, website, newsletters), press materials, and internal events.
Interpret creative briefs and translate them into effective visuals that reflect Kijamii’s tone of voice, culture, and positioning.
Maintain brand consistency, ensuring every design is visually aligned with Kijamii’s brand system and design standards.
Stay updated on industry trends and best practices to ensure our creative output remains innovative and competitive.
Leverage creative and AI-driven design tools to streamline workflows, enhance visual impact, and experiment with new creative possibilities.
Perform any other related task as assigned by management.
JOB SPECIFICATIONS:
Education
Bachelor's degree in Graphic Design, Visual Arts, Fine Arts, or related design field
Experience
1-3 years of proven experience in graphic design, ideally in branding, creative agencies, or in-house communications/design teams.
Strong portfolio demonstrating creativity, branding sensibility, and storytelling ability across digital and print media.
Skills
Advanced proficiency in
Adobe Creative Suite
(Photoshop, Illustrator, InDesign).
Strong sense of layout, typography, color theory, and brand storytelling.
Motion design and After Effects proficiency is a strong plus.
Experience with AI-assisted design tools (e.g., generative design, image enhancement, layout automation).
Exceptional attention to detail and design quality.
Ability to manage multiple projects and meet deadlines in a fast-paced environment.
Great communication, collaboration, and feedback skills.
A mindset that blends creativity, curiosity, and problem-solving.
This position is open until
January ,8 2026
Placement is based on the candidate’s experience and skills. Only candidates who make it to the shortlist will be contacted.
“
We thank all individuals who have expressed interest in working at Kijamii
.”",Entry level,Full-time,Advertising,Advertising Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329149461,https://eg.linkedin.com/jobs/view/graphic-designer-%E2%80%93-kijamii-brand-at-kijamii-4329149461,Bac+8 / Doctorat,1 ans/years,General Search
2025-12-26,December,"License Owner, Cairo",Stranger Soccer,"Cairo, Cairo, Egypt","Passionate about football (soccer) AND about business? Stranger Soccer is expanding to key cities around the world. We are looking for a License Owner to open and operate the Stranger Soccer business in Cairo.
This is not your traditional management job - it is truly built for someone that wants to own and operate their own business (that happens to make the world's greatest sport accessible to everyone). This role is ideally suited for an adventurous and football-passionate entrepreneur.
Sounds Like You?
As a next step, please visit www.strangersoccer.com and particularly the section Bring Stranger Soccer to your City to learn more about this dynamic opportunity.
If it appears to be a fit, and you wish to learn more, please fill out the form there to officially express your interest.
Be sure to download and explore the Stranger Soccer mobile app as well.
Responsibilities
Bring the Stranger Soccer brand and business to life for the assigned city
Recruit, train, and lead a small central team (2-3 persons) as well as a few freelance Official Hosts (game hosts) to kick off the operation
Identify and secure prime slots at football venues to run Stranger Soccer games
Engage in creative sales and marketing digital and hands-onto ensure that customers are introduced to the platform as a convenient and preferred way to play
Oversee a schedule of games, ensuring customers are delighted with each game they play, and keep coming back for more
Take advantage of the strong backing and direction of Singapore headquarters, where an operations and technology team is ready to support you
You should have
A passion for football, and a strong connection to your local football scene
A business background, ideally in management and customer service
An entrepreneurial background or spirit
A commitment to owning, driving, and scaling the Stranger Soccer brand in the assigned market
A hunger to succeed: financial compensation for this role will be proportionate to hard work, business acumen, and effectiveness
About Stranger Soccer
With 3.5 billion football enthusiasts in over 200 countries, football is the most popular sport in the world. But why don't more people play it? Stranger Soccer (www.strangersoccer.com) makes playing football as easy as going for a jog or to the gym. Browse dozens of games on its acclaimed Mobile App. Book a slot. Turn up and play.
Incorporated in 2017, Stranger Soccer has quickly transformed the sports & recreation scene in Singapore. In a few short years, it has grown to be the #1-way people play football and futsal in the country, amassing tens of thousands of registered users purchasing thousands of slots every week. Whether you call it Fussball, Fútbol, Calcio, or anything else, the world now awaits.
Our Mission
To make playing football as easy as going for a jog.
Our Vision
A world in which playing football is as popular and widespread as watching football.
Got what it takes?
We encourage you to visit
www.strangersoccer.com
to learn more about this dynamic opportunity, and to express your interest. Be sure to download and explore the Stranger Soccer mobile app as well. We look forward to meeting you.",Executive,Full-time,Other,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346351662,https://eg.linkedin.com/jobs/view/license-owner-cairo-at-stranger-soccer-4346351662,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-26,December,Senior Power BI Developer (GeoLocation Specialist),Madar Software,Egypt,"Job description
We are seeking a highly skilled and experienced
Senior Power BI Developer
with deep expertise in GeoLocation data analysis. In this pivotal role, you will design, develop, and optimize interactive dashboards and impactful reports. The ideal candidate will have a strong track record in spatial data visualization, sophisticated mapping techniques, and geographic data modeling to help drive critical data-driven decision-making across the organization. You will be instrumental in transforming raw location data into actionable insights.
Key Responsibilities
Dashboard & Report Development
Design, develop, and deploy advanced
Power BI
dashboards, paginated reports, and compelling data visualizations, with a core focus on GeoLocation analytics (e.g., heatmaps, proximity analysis, region-based trends, route optimization solutions).
Collaborate closely with stakeholders to gather and translate complex business requirements into effective wireframes, mockups, and ultimately, intuitive data visualizations.
Champion best practices in report design and user experience.
Data Modeling & Transformation
Create, maintain, and optimize robust semantic models (datasets) in
Power BI
.
Develop complex and efficient calculations and measures using Data Analysis Expressions (
DAX
).
Build and manage robust data transformation pipelines using
Power Query (M)
to clean, reshape, and prepare data for analysis.
Ensure optimized data structures to minimize report refresh times and enhance query performance.
Expertly structure event logs, location records, and associated metadata into usable, scalable schemas.
Apply sophisticated transformation logic to standardize, normalize, and enrich diverse datasets.
Data Governance & Quality Assurance
Establish and implement comprehensive data validation rules and processes (e.g., null checks, anomaly detection, timestamp gap analysis).
Ensure the accuracy, consistency, and reliability of reported data through rigorous testing, validation, and reconciliation procedures.
Implement and manage row-level security (RLS) and other data governance practices within the
Power BI
environment.
Integration & Collaboration
Connect
Power BI
to a wide variety of data sources, including SQL databases (on-premises and cloud-based like Azure SQL), data warehouses (e.g., Azure Synapse, Snowflake), APIs, cloud services (e.g., SharePoint Online), Excel, CSV files, and other enterprise systems.
Collaborate effectively with product managers, data engineers, software developers, and business stakeholders to enhance data accessibility, analytical capabilities, and decision-making processes.
Potentially mentor junior developers or share expertise within the team.
Required Qualifications
Bachelor’s degree in Information Systems, Computer Science, Business Analytics, Geography, or a related field.
3+ years
of hands-on experience designing, developing, and deploying complex
Power BI
solutions in a professional environment.
Advanced proficiency with
DAX
,
Power Query (M)
, and the
Power BI Service
(workspaces, apps, dataflows, deployment pipelines, gateway management).
Strong data modeling skills, with a deep understanding of relational and dimensional database concepts, and star/snowflake schemas.
Demonstrable, strong expertise in
GeoLocation data analysis
(e.g., plotting coordinates, spatial joins, geocoding, proximity calculations, creating custom map visuals).
Proficiency in SQL for data extraction and manipulation.
Experience with
SQL Server Integration Services (SSIS)
or other ETL tools (e.g., Azure Data Factory).
Preferred Qualifications
Proficiency in at least one scripting/programming language relevant to data analysis (e.g.,
Python
, R, or Java).
Knowledge of mobile data formats (GPS logs, timestamps, device identifiers like IDFA/GAID).
Familiarity with cloud platforms (e.g., Azure, AWS) and their data services.
Experience with specific geospatial tools or libraries (e.g., ArcGIS, QGIS, PostGIS, Python's GeoPandas/Shapely).
Master's degree in a related field.
BENEFITS
Competitive salary
Social and Medical Insurance without Any deduction from the Salary
5 working Days & 8 Hours Daily Including 1 Hour Break
Hands-on, real-life experience.",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346177714,https://eg.linkedin.com/jobs/view/senior-power-bi-developer-geolocation-specialist-at-madar-software-4346177714,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-26,December,Store Manager,Burger Republic-EG,"Heliopolis, Cairo, Egypt","Company Description
Founded in 2017, Burger Republic began as a small burger bike and has grown into a prominent brand in the food and hospitality industry. Known for its diverse menu, the company creates an elevated dining experience that goes beyond traditional burgers. With locations in Hadek al Koba, Heliopolis, Nasr City, Haram, and Maadi, each restaurant offers a welcoming ambiance. At Burger Republic, a commitment to quality ingredients, innovative recipes, and exceptional service define what we stand for. Join a company dedicated to redefining the burger scene and providing memorable experiences for every customer.
Role Description
This is a full-time, on-site role for a Store Manager at Burger Republic, located in Heliopolis. The Store Manager will oversee the daily operations of the restaurant, ensuring exceptional customer service, supervising and motivating staff, maintaining food quality standards, managing schedules, and handling inventory. The role also includes monitoring sales performance, implementing marketing initiatives, and ensuring compliance with health and safety regulations.
Qualifications
Leadership and team management experience to effectively oversee and motivate staff.
Strong organizational, time management, and problem-solving skills for handling day-to-day operations and challenges.
Customer service and communication skills to address guest needs and deliver a positive dining experience.
Knowledge in inventory management, cost control, and handling financial reports.
Familiarity with food safety standards and workplace safety protocols.
Ability to work in a fast-paced environment and maintain composure under pressure.
Previous experience in the food and beverage or hospitality industry is preferred.
Bachelor’s degree in Business Administration, Hospitality Management, or a related field is a plus.",Mid-Senior level,Full-time,Sales and Business Development,Food and Beverage Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4309293969,https://eg.linkedin.com/jobs/view/store-manager-at-burger-republic-eg-4309293969,Bac+4,N/A,General Search
2025-12-26,December,IT Cards & Digital Channels Support Specialist/ Implementation Specialist,Abu Dhabi Islamic Bank - Egypt,"Cairo, Egypt","Support
Act as a second level support for incidents that service Desk is unable to do so independently.
Escalate incidents to SW vendors and provide recreation scenarios as well as proposed solutions that ensure service continuity over the banking systems.
Follow up delivery of incident/ problem solutions.
Perform software research, testing, and recommendations when needed
Handling Vendors, internal IT & business communications effectively.
This position requires response and issue resolution during nights and weekends as necessary to meet business needs.
Review Deployment plans for production changes.
Respond to requests and inquiries from business users and change management team for system changes and verify whether it can be done using local resources or thru vendor side.
Evaluates impact analysis provided by vendors and/or implementation teams for production changes.
Report incident status on weekly basis to support manager.
Perform handover activities with application development/implementation team(s) for any new application before installing into production.
Plan and Perform periodic patching for all digital channels applications.
Follow up with vendor to deliver fixes, change requests that are requested to resolve incidents/problems
Reviewing / re-evaluating any solutions or fixes provided from vendors or developed internally before deploying into production
Patching – ensure quality development of patches that are deployed to the production environment.
Perform System upgrades, or lead vendor engagement to perform system upgrades.
Supports a project delivery point of view & Day to day issues support and align the business requirements.
Handle system analysis & design of in house developed systems as well as Development in line with bank agreed system architecture and development tools and following quality standards.
As a team member, this role will also handle, internal IT & business communications effectively.
And any other assigned tasks.
Implementation
As a Subject Expert in the applications he will also play a significant role in projects as needed. This will include business analysis, scoping, alternatives validation, effort sizing, testing and post-implementation validation.
Supports a project delivery point of view & Day to day issues support and align the business requirements.
Ensure quality of project technical deliverables including Scope of work, design document, implementation packages and deployment plans.
Perform software research, testing, and recommendations when needed
Handling Vendors, internal IT & business communications effectively.
Prepare Deployment plans for production changes.
Respond to requests and inquiries from business users and change management team for system changes and verify whether it can be done using local resources or thru vendor side.
Evaluates impact analysis provided by vendors and/or implementation teams for production changes.
Perform handover activities with application support team(s) for any new application before installing into production.
Follow up with vendor to deliver fixes, change requests that are requested to resolve issues raised during the project life cycle.
Assess the changed raised from business if it can be done internally, and develop the change request when applicable.
Reviewing / re-evaluating any solutions or fixes provided from vendors or developed internally before deploying into production.
Review issues raised during testing phase and classify them accordingly.
Communicate UAT issues to vendor, follow up till fixes are received. Upon fixes deployment, he should perform sanity check and inform UAT team to proceed with testing activities.
Supports a project delivery point of view & Day to day issues support and align the business requirements.
Handle system analysis & design of in house developed systems as well as Development in line with bank agreed system architecture and development tools and following quality standards.
As a team member, this role will also handle, internal IT & business communications effectively.
And any other assigned tasks.",Mid-Senior level,Full-time,Information Technology,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350511812,https://eg.linkedin.com/jobs/view/it-cards-digital-channels-support-specialist-implementation-specialist-at-abu-dhabi-islamic-bank-egypt-4350511812,N/A,N/A,General Search
2025-12-26,December,Senior Account Manager,Kepler,"Cairo, Egypt","Senior Account Manager
Fifth Settlement | Hybrid
kepler-agency.ae
Kepler is growing, and we’re looking for a Senior Account Manager to lead key client relationships and drive business impact in the healthcare marketing space.
What You’ll Do
• Act as the main client contact from onboarding to delivery
• Build strong, long-term client relationships
• Lead proposals, negotiations, upselling & cross-selling
• Coordinate with internal teams to ensure smooth project execution
• Retain & grow key accounts through regular follow-ups
• Use your medical background to communicate effectively with healthcare clients
• Provide insights and reports to enhance performance
Requirements
• Bachelor’s degree in a medical field (mandatory)
• 3–7 years in account management, client success, or sales
• Experience in a marketing agency is a must
• Excellent communication, negotiation & leadership skills
📩 How to Apply
Send your CV to
doaa.sherif@kepler-agency.ae",Mid-Senior level,Full-time,Sales and Business Development,Marketing Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350462301,https://eg.linkedin.com/jobs/view/senior-account-manager-at-kepler-4350462301,Bac+4,7 ans/years,General Search
